"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"3671",2.5091,2.193,1.8089,15,"EBA","Right"
"3672",4.2527,3.2112,3.3482,15,"EBA","Right"
"3673",0.54951,0.72622,0.89157,15,"EBA","Right"
"3674",1.6388,2.2199,2.7508,15,"EBA","Right"
"3675",1.2498,1.3645,1.6667,15,"EBA","Right"
"3676",1.5764,1.7359,2.1314,15,"EBA","Right"
"3677",4.3541,5.572,5.7474,15,"EBA","Right"
"3678",7.4093,7.3099,7.8273,15,"EBA","Right"
"3679",5.9132,6.9999,8.2765,15,"EBA","Right"
"3680",1.8941,1.5868,1.9752,15,"EBA","Right"
"3681",1.7076,1.7159,2.1391,15,"EBA","Right"
"3682",4.288,4.9598,5.6637,15,"EBA","Right"
"3683",1.92,3.4301,3.8877,15,"EBA","Right"
"3684",1.7161,1.4888,1.6484,15,"EBA","Right"
"3685",3.2241,3.1615,3.5235,15,"EBA","Right"
"3686",0.55953,1.1444,1.1438,15,"EBA","Right"
"3687",0.72757,1.2373,1.3184,15,"EBA","Right"
"3688",0.73486,0.82715,0.70846,15,"EBA","Right"
"3689",1.8442,1.9536,2.1079,15,"EBA","Right"
"3690",2.1478,2.5987,2.75,15,"EBA","Right"
"3691",6.7228,4.7637,6.3884,15,"Overlap_lat_occ","Right"
"3692",3.742,3.1257,4.2047,15,"Overlap_lat_occ","Right"
"3693",1.9866,0.57248,1.3775,15,"Overlap_lat_occ","Right"
"3694",4.8749,4.6948,5.5123,15,"Overlap_lat_occ","Right"
"3695",0.17354,-0.047419,0.17148,15,"Overlap_lat_occ","Right"
"3696",4.8399,4.6506,5.7569,15,"Overlap_lat_occ","Right"
"3697",2.029,1.5937,2.5757,15,"Overlap_lat_occ","Right"
"3698",1.4004,-0.51558,0.7473,15,"Overlap_lat_occ","Right"
"3699",3.7866,2.45,3.5957,15,"Overlap_lat_occ","Right"
"3700",3.5022,2.4067,3.7334,15,"Overlap_lat_occ","Right"
"3701",0.92382,0.82327,1.0867,15,"Overlap_lat_occ","Right"
"3702",1.2402,0.40276,1.1656,15,"Overlap_lat_occ","Right"
"3703",1.594,1.4047,1.7032,15,"Overlap_lat_occ","Right"
"3704",2.1174,2.3883,2.7251,15,"Overlap_lat_occ","Right"
"3705",7.7833,8.3757,9.73,15,"Overlap_lat_occ","Right"
